"station","latitude","longitude"
"2629099999",56.2833333,13.9333333
"94870099999",-37.975833,145.102222
"91348199999",6.9666667,158.2166667
"47830099999",31.9333333,131.4166666
"72463603013",38.07177,-102.68747
"71040099999",48.3,-71.1166666
"26501099999",56.35,22.3166666
"11393099999",47.4666666,16.6666666
"72483023232",38.5069,-121.495
"72554104993",40.60639,-95.86361
"7205099999",47.760555,-3.44
"67785099999",-17.5833333,30.9666666
"15014099999",47.658389,23.470022
"87222099999",-28.595556,-65.751667
"99849999999",41.856,-87.609
"10304099999",52.7166667,7.3166667
"72032999999",34.111542,-117.687589
"8014499999",37.133222,-3.635694
"72582524121",40.82402,-115.78635
"44294099999",47.3,107.4833333
"43466099999",6.9,79.8666666
"15063099999",47.1833333,23.05
"72658994968",43.68333,-93.36667
"97580099999",-1.8333333,138.7166667
"68349099999",-26.32,26.82
"47774099999",34.4333333,135.2333333
"76656099999",19.7166666,-103.4666666
"48517099999",10.7112,99.361706
"72315003812",35.4319,-82.5375
"7586099999",44.0833333,5.05
